CITY/TOWN          , "AUSTRALIAN
                     BALLOT used to
                     vote for Town
                     Officers"     , "AUSTRALIAN
                                     BALLOT used to
                                     vote for Town
                                     Budget"       , "AUSTRALIAN
                                                     BALLOT used to
                                                     vote for Town
                                                     Public Questions", "AUSTRALIAN BALLOT voting
                                                                        adopted by TOWN for budget,
                                                                        officers, or public questions
                                                                        at 2025 Town Meeting"              , "AUSTRALIAN BALLOT used for
Plainfield         , Yes           , Yes           , Yes              , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
Plymouth           , Yes           , No            , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Pomfret            , Yes           , Yes           , Yes              , N/A                                , Partially                  , Yes            , Yes              , Yes              , No                   , "YES - the district voted to move
                                                                                                                                                                                                                        to Australian Ballot voting for all
                                                                                                                                                                                                                        public questions going forward.
                                                                                                                                                                                                                        Officers and budget were already
                                                                                                                                                                                                                        voted by Australian Ballot."
Poultney           , Yes           , Yes           , Yes              , NO                                 , Partially                  , Yes            , No               , Yes              , Yes                  , NO
Pownal             , Yes           , Yes           , Yes              , "NO, WE STILL VOTE 3 TO 4
                                                                        FROM FLOOR"                        , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Proctor            , Yes           , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Putney             , Yes           , No            , Yes              , No                                 , No                         , Yes            , No               , No               , No                   , No
Randolph           , N/A           , N/A           , N/A              , N/A                                , N/A                        , N/A            , N/A              , N/A              , N/A                  , N/A
Reading            , Yes           , Yes           , Yes              , no                                 , Partially                  , Yes            , No               , Yes              , No                   , yes
Readsboro          , Yes           , No            , No               , no                                 , Partially                  , No             , Yes              , Yes              , No                   , no
Richford           , Yes           , Yes           , Yes              , NA                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , NA
Richmond           , Yes           , Yes           , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Ripton             , Yes           , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Rochester          , No            , No            , No               , No                                 , Partially                  , Yes            , Yes              , No               , No                   , "The Union School District Vote
                                                                                                                                                                                                                        will happen in May"
Rockingham         , No            , No            , No               , No                                 , Partially                  , Yes            , Yes              , Yes              , No                   , No
Roxbury            , Yes           , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , NO
Royalton           , Yes           , No            , No               , No                                 , Partially                  , Yes            , Yes              , No               , No                   , No
Rupert             , Yes           , Yes           , Yes              , N/A                                , Yes                        , No             , Yes              , Yes              , Yes                  , N/A
Rutland City       , Yes           , Yes           , Yes              , N/A                                , Partially                  , Yes            , Yes              , Yes              , No                   , N/A
Rutland Town       , Yes           , Yes           , Yes              , N/A                                , Yes                        , Yes            , Yes              , Yes              , Yes                  , n/a
Ryegate            , No            , No            , No               , No                                 , Partially                  , Yes            , Yes              , Yes              , No                   , No
Saint Albans City  , Yes           , Yes           , Yes              , N/A                                , Yes                        , Yes            , Yes              , Yes              , Yes                  , n/a
Saint Albans Town  , Yes           , Yes           , Yes              , N/A                                , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Saint George       , No            , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Saint Johnsbury    , Yes           , Yes           , Yes              , N/A                                , Yes                        , No             , Yes              , Yes              , Yes                  , N/A
Salisbury          , Yes           , Yes           , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Sandgate           , Yes           , No            , No               , No                                 , Partially                  , Yes            , Yes              , No               , No                   , no
Searsburg          , Yes           , Yes           , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
Shaftsbury         , Yes           , No            , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Sharon             , Yes           , No            , No               , No                                 , No                         , No             , No               , No               , No                   , NO
Sheffield          , No            , No            , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
Shelburne          , Yes           , Yes           , Yes              , N/A                                , Partially                  , Yes            , No               , Yes              , Yes                  , n/a
Sheldon            , No            , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Shoreham           , Yes           , No            , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Shrewsbury         , Yes           , Yes           , Yes              , No                                 , Partially                  , Yes            , No               , Yes              , Yes                  , No
South Burlington   , Yes           , Yes           , Yes              , N/A                                , Yes                        , No             , Yes              , Yes              , Yes                  , "our school already uses
                                                                                                                                                                                                                        Australian ballot"
South Hero         , Yes           , Yes           , Yes              , "no- we've been using Australian
                                                                        Ballot for several years."         , Yes                        , Yes            , Yes              , Yes              , Yes                  , "no- we've been using Australian
                                                                                                                                                                                                                        Ballot for several years."
Springfield        , Yes           , Yes           , Yes              , N/A                                , Yes                        , No             , Yes              , Yes              , Yes                  , n/a
Stamford           , Yes           , No            , No               , "No, the town always votes all
                                                                        budget and public questions
                                                                        from the floor and has not
                                                                        changed."                          , Yes                        , No             , Yes              , Yes              , Yes                  , "In 2025 the school voted to
                                                                                                                                                                                                                        return to voting all budget and
                                                                                                                                                                                                                        public questions from the floor.
                                                                                                                                                                                                                        In 2024 the school district voted
                                                                                                                                                                                                                        to move to Australian Ballot
                                                                                                                                                                                                                        voting and in 2025 it was
                                                                                                                                                                                                                        reversed."
Stannard           , No            , No            , No               , No                                 , Partially                  , Yes            , No               , Yes              , No                   , no
Starksboro         , Yes           , No            , No               , No                                 , Partially                  , Yes            , No               , Yes              , No                   , NO
Stockbridge        , No            , No            , No               , No                                 , Partially                  , Yes            , Yes              , No               , No                   , "School meeting is not
                                                                                                                                                                                                                        incorporated with town meeting"
Stowe              , Yes           , Yes           , No               , No                                 , Partially                  , No             , Yes              , Yes              , No                   , no
Strafford          , Yes           , Yes           , Yes              , No                                 , No                         , No             , No               , No               , No                   , n/a
Stratton           , No            , No            , No               , No                                 , No                         , No             , No               , No               , No                   , NO
Sudbury            , No            , No            , No               , No                                 , Partially                  , Yes            , Yes              , Yes              , No                   , NO
Sunderland         , Yes           , Yes           , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
